"model_name","n_folds","n_converged","elpd","mean_log_score","brier","auc","baseline_elpd","baseline_mean_log_score","baseline_brier","log_score_gain_vs_baseline","brier_skill_score"
"streets_first_degree_no_dist_noIntercept",121,121,-27.7021860810494,-0.228943686620243,0.0518031115775206,NA,-81.3751443568801,-0.672521854189092,0.239583333333333,0.443578167568849,0.783778316893827
"streets_first_degree_dist",121,121,-85.6162222031438,-0.707572084323503,0.181212470168789,NA,-81.3751443568801,-0.672521854189092,0.239583333333333,-0.0350502301344109,0.243634907121576
"wo_streets_scnd_degree_dist",116,116,-109.067361738582,-0.940235877056741,0.223773630847729,NA,-78.0063706526456,-0.672468712522806,0.239546313799622,-0.267767164533935,0.0658439810728506
"streets_scnd_degree_dist",121,121,-122.319118605694,-1.01090180665863,0.233512282700705,NA,-81.3751443568801,-0.672521854189092,0.239583333333333,-0.338379952469538,0.0253400374231427
"streets_first_degree_no_dist",121,121,-141.184631726695,-1.16681513823715,0.268120087986042,NA,-81.3751443568801,-0.672521854189092,0.239583333333333,-0.494293284048057,-0.119109932463478
"wo_streets_first_degree_no_dist",116,116,-154.750270421168,-1.3340540553549,0.296613226183179,NA,-78.0063706526456,-0.672468712522806,0.239546313799622,-0.661585342832091,-0.238229140237546
"wo_streets_first_degree_dist_cov_lead_events_fatalities",116,116,-166.980751692077,-1.4394892387248,0.279888612576038,NA,-78.0063706526456,-0.672468712522806,0.239546313799622,-0.767020526201992,-0.16841126935546
"wo_streets_first_degree_no_dist_cov_total_lag_lead_events_fatalities",116,116,-176.706812229844,-1.52333458818831,0.269905320146431,NA,-78.0063706526456,-0.672468712522806,0.239546313799622,-0.850865875665508,-0.126735435270376
"streets_scnd_degree_no_dist_cov_total_lag_lead_events_fatalities",116,116,-191.292694999404,-1.64907495689141,0.282501804925325,NA,-78.0063706526456,-0.672468712522806,0.239546313799622,-0.976606244368607,-0.179320192593884
"streets_first_degree_no_dist_cov_lead_events_fatalities",121,121,-213.202215845003,-1.762001783843,0.296749209674096,NA,-81.3751443568801,-0.672521854189092,0.239583333333333,-1.08947992965391,-0.238605396900575
"streets_first_degree_no_dist_cov_total_lag_lead_events_fatalities",121,121,-243.059523850845,-2.00875639546153,0.30089603184543,NA,-81.3751443568801,-0.672521854189092,0.239583333333333,-1.33623454127244,-0.255913872050491
