"","month","count","control_count"
"1",2020-07-01,5,0
"2",2020-09-01,1,0
"3",2021-11-01,11,5
"4",2021-12-01,6,0
"5",2022-01-01,11,0
"6",2022-03-01,22,8
"7",2022-04-01,46,19
"8",2022-05-01,53,15
"9",2022-06-01,128,38
"10",2022-07-01,32,6
"11",2022-08-01,44,5
"12",2022-09-01,2,0
"13",2022-10-01,58,16
"14",2022-11-01,109,27
"15",2022-12-01,81,3
"16",2023-01-01,132,24
"17",2023-02-01,126,33
"18",2023-03-01,137,44
"19",2023-04-01,36,23
"20",2023-05-01,15,0
"21",2023-06-01,33,10
"22",2023-07-01,57,9
"23",2023-08-01,21,0
"24",2023-09-01,13,3
"25",2023-10-01,105,10
"26",2023-11-01,62,8
"27",2023-12-01,36,9
"28",2024-01-01,89,9
"29",2024-02-01,103,9
"30",2024-03-01,92,24
"31",2024-04-01,62,7
"32",2024-05-01,135,34
"33",2024-06-01,110,35
"34",2024-07-01,39,7
"35",2024-08-01,53,21
"36",2024-09-01,33,4
"37",2024-10-01,48,16
"38",2024-11-01,27,3
"39",2024-12-01,79,17
"40",2025-01-01,233,71
"41",2025-02-01,30,7
